Date,portfolio_value
2022-04-28,7601.653593839749
2022-04-29,7193.570122975366
2022-05-02,7486.592512690449
2022-05-03,7518.35655590661
2022-05-04,7702.285647585179
2022-05-05,7132.239707373603
2022-05-06,6970.636572187511
2022-05-09,6584.764190887446
2022-05-10,6587.889102418409
2022-05-11,6201.503629694851
2022-05-12,6371.149266367391
2022-05-13,6777.925403617363
2022-05-16,6516.594847460183
2022-05-17,6755.796404003134
2022-05-18,6317.361965346035
2022-05-19,6349.079854806434
2022-05-20,6298.911329513688
2022-05-23,6312.396830791832
2022-05-24,6051.9382400938375
2022-05-25,6286.859215644168
2022-05-26,6635.855684072599
2022-05-27,6855.820783108584
2022-05-31,6798.075496009142
2022-06-01,6646.071512113344
2022-06-02,7067.581651722584
2022-06-03,6866.746080673538
2022-06-06,6926.560674779914
2022-06-07,6924.657604427333
2022-06-08,6900.705344424661
2022-06-09,6729.921747296887
2022-06-10,6431.845437333063
2022-06-13,6081.837594154565
2022-06-14,6136.006957476836
2022-06-15,6319.710126368235
2022-06-16,5974.843049643521
2022-06-17,6099.760949859294
2022-06-21,6195.154405078462
2022-06-22,6195.100886144674
2022-06-23,6357.802252714
2022-06-24,6644.611456398836
2022-06-27,6528.4398740363295
2022-06-28,6265.261710403238
2022-06-29,6168.3380195188065
2022-06-30,5979.588200842648
2022-07-01,6089.982767362072
2022-07-05,6387.790392670453
2022-07-06,6326.847136211571
2022-07-07,6615.629424081667
2022-07-08,6610.91777878801
2022-07-11,6339.082592497049
2022-07-12,6345.087542715268
2022-07-13,6265.8211109873355
2022-07-14,6200.967608470255
2022-07-15,6393.4589883577855
2022-07-18,6433.428940203171
2022-07-19,6660.637418742683
2022-07-20,6830.272565687065
2022-07-21,6924.025447601859
2022-07-22,6712.514336406198
2022-07-25,6641.043985926824
2022-07-26,6419.914218224928
2022-07-27,6688.397078766812
2022-07-28,6777.800122437177
2022-07-29,6851.333055518293
2022-08-01,6995.280732415752
2022-08-02,6992.40310441628
2022-08-03,7262.48731398182
2022-08-04,7186.268282829681
2022-08-05,7135.167230833984
2022-08-08,7276.772701300708
2022-08-09,6974.5786696097375
2022-08-10,7325.099320170408
2022-08-11,7354.142257216393
2022-08-12,7530.721036252378
2022-08-15,7471.538542892418
2022-08-16,7545.945021654508
2022-08-17,7314.120713217257
2022-08-18,7313.387434266966
2022-08-19,6929.4512906653235
2022-08-22,6704.695240990154
2022-08-23,6730.231312705598
2022-08-24,6798.211168534683
2022-08-25,6957.803677417786
2022-08-26,6644.390349721521
2022-08-29,6593.094391926427
2022-08-30,6530.509354952953
2022-08-31,6443.3490305800515
2022-09-01,6384.656056056254
2022-09-02,6290.570385026396
2022-09-06,6269.843101073367
2022-09-07,6397.081972863801
2022-09-08,6444.793515179836
2022-09-09,6659.075875865912
2022-09-12,6802.541173355635
2022-09-13,6387.1914770537305
2022-09-14,6434.927069274111
2022-09-15,6367.938698245779
2022-09-16,6147.712244140834
2022-09-19,6221.513269468656
2022-09-20,6008.00762405395
2022-09-21,5981.156127945763
2022-09-22,5765.117195943291
2022-09-23,5663.121868096803
2022-09-26,5572.031324404558
2022-09-27,5652.98456628605
2022-09-28,5827.836753618065
2022-09-29,5617.785615978426
2022-09-30,5494.487591712946
2022-10-03,5679.5159294914865
2022-10-04,5984.545020657054
2022-10-05,5995.380714498685
2022-10-06,5942.606704028401
2022-10-07,5646.183009128343
2022-10-10,5597.327794538381
2022-10-11,5576.081203448748
2022-10-12,5606.321782076239
2022-10-13,5627.929792119605
2022-10-14,5352.598698851207
2022-10-17,5668.935277932946
2022-10-18,5748.076675259776
2022-10-19,5578.714126576248
2022-10-20,5596.429986928602
2022-10-21,5705.95256647475
2022-10-24,5698.93014843959
2022-10-25,5919.306561201597
2022-10-26,5928.601879343838
2022-10-27,5939.796471088871
2022-10-28,6053.072228819081
2022-10-31,6015.407921956208
2022-11-01,6012.250478604311
2022-11-02,5805.29077194754
2022-11-03,5909.566529558302
2022-11-04,5876.0811233131835
2022-11-07,5929.453848780974
2022-11-08,5956.8501701812975
2022-11-09,5738.219397616573
2022-11-10,6484.708812158447
2022-11-11,6740.478069245734
2022-11-14,6714.386019434979
2022-11-15,6875.692420026387
2022-11-16,6582.788438571393
2022-11-17,6434.092638548517
2022-11-18,6410.66390896813
2022-11-21,6365.782105254391
2022-11-22,6450.885892874548
2022-11-23,6528.724757141289
2022-11-25,6506.588313490433
2022-11-28,6376.9693260940785
2022-11-29,6378.0543665419655
2022-11-30,6781.988210054045
2022-12-01,6896.99612090978
2022-12-02,6941.943291851568
2022-12-05,6707.325549223186
2022-12-06,6534.382547074242
2022-12-07,6478.670595475788
2022-12-08,6623.066357286149
2022-12-09,6596.74079445718
2022-12-12,6715.94425987631
2022-12-13,6841.132247619073
2022-12-14,6855.379317450473
2022-12-15,6549.519046249399
2022-12-16,6486.630246548402
2022-12-19,6380.172697277294
2022-12-20,6325.113411184351
2022-12-21,6513.265315053658
2022-12-22,6309.734784048567
2022-12-23,6315.173015042963
2022-12-27,6149.805130225969
2022-12-28,6009.683551713475
2022-12-29,6238.035736213941
2022-12-30,6197.112084937171
2023-01-03,6161.137701061573
2023-01-04,6378.3259600848005
2023-01-05,6328.654270218887
2023-01-06,6529.71336596558
2023-01-09,6653.032299660547
2023-01-10,6776.4363204395395
2023-01-11,6963.164295496189
2023-01-12,7033.807219624533
2023-01-13,7107.5575299297125
2023-01-17,7171.155791965362
2023-01-18,7080.747463608532
2023-01-19,6926.31878626995
2023-01-20,7266.738193496669
2023-01-23,7710.46035919984
2023-01-24,7601.518664766922
2023-01-25,7643.039579751724
2023-01-26,7685.099490771853
2023-01-27,7955.95422916834
2023-01-30,7711.75344767737
2023-01-31,7891.601684513879
2023-02-01,8211.15443215222
2023-02-02,8493.02467302822
2023-02-03,8322.873778215817
2023-02-06,8190.6035712102275
2023-02-07,8229.624577266899
2023-02-08,8121.226139251572
2023-02-09,7922.462292837878
2023-02-10,7699.987495659687
2023-02-13,7877.348543432562
2023-02-14,7926.305331271315
2023-02-15,8075.779623404221
2023-02-16,7746.595343142383
2023-02-17,7697.159144119115
2023-02-21,7438.798445363343
2023-02-22,7473.079944069939
2023-02-23,7416.427712132023
2023-02-24,7309.136724285627
2023-02-27,7345.314794494318
2023-02-28,7407.0039209557135
2023-03-01,7445.822957330725
2023-03-02,7524.492071426189
2023-03-03,7698.536033689764
2023-03-06,7671.198894372975
2023-03-07,7602.482337194041
2023-03-08,7612.344645549075
2023-03-09,7401.350612348474
2023-03-10,7141.9968214024075
2023-03-13,7108.596886359013
2023-03-14,7152.996310125278
2023-03-15,7139.976567826953
2023-03-16,7282.787272996414
2023-03-17,7203.559286691416
2023-03-20,7239.051659818634
2023-03-21,7460.85559243459
2023-03-22,7360.256523882624
2023-03-23,7399.492209550138
2023-03-24,7363.888096220556
2023-03-27,7388.665443682294
2023-03-28,7400.733242615848
2023-03-29,7539.835441425179
2023-03-30,7524.242907603999
2023-03-31,7695.254387392436
2023-04-03,7704.239706241264
2023-04-04,7601.849321298728
2023-04-05,7400.977377137695
2023-04-06,7390.757198306911
2023-04-10,7525.005592116827
2023-04-11,7572.674261165241
2023-04-12,7443.129533836038
2023-04-13,7564.007998489765
2023-04-14,7539.9981364325295
2023-04-17,7544.323992431336
2023-04-18,7560.106145006518
2023-04-19,7568.372987187187
2023-04-20,7540.481378155707
2023-04-21,7575.784781590105
2023-04-24,7553.251414415741
2023-04-25,7326.52685884157
2023-04-26,7293.945152362652
2023-04-27,7426.52102148195
2023-04-28,7567.707518803812
2023-05-01,7499.392657236677
2023-05-02,7345.819094669225
2023-05-03,7292.607304115763
2023-05-04,7286.038604044675
2023-05-05,7474.379561888999
2023-05-08,7559.377766708534
2023-05-09,7456.585268204795
2023-05-10,7539.557507960652
2023-05-11,7547.458573000423
2023-05-12,7483.068304877945
2023-05-15,7675.486645246323
2023-05-16,7543.294806795912
2023-05-17,7702.421654701958
2023-05-18,7844.274060511255
2023-05-19,7666.70816607259
2023-05-22,7688.611091736032
2023-05-23,7638.885348993957
2023-05-24,7574.052744339815
2023-05-25,7727.459482044523
2023-05-26,7893.9001952766075
2023-05-30,7991.936058741533
2023-05-31,7817.8799481734695
2023-06-01,8086.106024154246
2023-06-02,8248.88328624512
2023-06-05,8279.247106567333
2023-06-06,8440.271987411545
2023-06-07,8354.16644052783
2023-06-08,8475.127921650103
2023-06-09,8435.369364248527
2023-06-12,8542.349461064268
2023-06-13,8688.189316516202
2023-06-14,8765.927524994142
2023-06-15,8843.661775769959
2023-06-16,8763.625568931368
2023-06-20,8726.198653579822
2023-06-21,8641.167608837539
2023-06-22,8656.783949848585
2023-06-23,8550.176385452525
2023-06-26,8534.096527360574
2023-06-27,8753.03258137196
2023-06-28,8777.32728473928
2023-06-29,8737.762868579306
2023-06-30,8831.18294000163
2023-07-03,8908.492298309237
2023-07-05,8763.295467638913
2023-07-06,8511.434570201602
2023-07-07,8637.851729002392
2023-07-10,8834.022553546101
2023-07-11,9098.533218120829
2023-07-12,9153.830297852042
2023-07-13,9298.433629829104
2023-07-14,9175.633390056635
2023-07-17,9331.88122710257
2023-07-18,9456.394797098665
2023-07-19,9516.407827013414
2023-07-20,9335.640905175951
2023-07-21,9343.581003513204
2023-07-24,9304.84226174898
2023-07-25,9327.568016706393
2023-07-26,9359.304601696054
2023-07-27,9343.053068478357
2023-07-28,9625.02085301295
2023-07-31,9766.23214798394
2023-08-01,9651.017651946586
2023-08-02,9394.340696225381
2023-08-03,9422.953264403355
2023-08-04,9382.81891878166
2023-08-07,9452.29617362401
2023-08-08,9338.772748950896
2023-08-09,9142.183626794646
2023-08-10,9071.271611065817
2023-08-11,9028.558218328657
2023-08-14,9175.319685751561
2023-08-15,9001.206453834115
2023-08-16,8860.834592482228
2023-08-17,8719.219659037966
2023-08-18,8688.114342842
2023-08-21,8813.258218001652
2023-08-22,8668.3482470418
2023-08-23,8825.43137549163
2023-08-24,8657.785472492302
2023-08-25,8675.600577983434
2023-08-28,8699.08634800341
2023-08-29,8970.250193651416
2023-08-30,9082.440153512413
2023-08-31,9026.195417887237
2023-09-01,9108.980226417878
2023-09-05,9063.136900082513
2023-09-06,8991.935682345491
2023-09-07,8852.015901842324
2023-09-08,8784.34366151943
2023-09-11,8821.906089026947
2023-09-12,8776.049307940206
2023-09-13,8800.93280396395
2023-09-14,8867.67476262489
2023-09-15,8728.999114126154
2023-09-18,8588.038762924267
2023-09-19,8574.649603234497
2023-09-20,8452.528779557908
2023-09-21,8278.03494475569
2023-09-22,8290.11301791241
2023-09-25,8352.079110096975
2023-09-26,8195.50160781234
2023-09-27,8268.853387362615
2023-09-28,8370.065852108708
2023-09-29,8455.452175399605
2023-10-02,8486.05250369798
2023-10-03,8219.370670616281
2023-10-04,8332.36671240065
2023-10-05,8297.241838267262
2023-10-06,8419.829905896313
2023-10-09,8418.774434733423
2023-10-10,8513.04430819375
2023-10-11,8545.401438209978
2023-10-12,8394.681039927367
2023-10-13,8155.934802964033
2023-10-16,8313.17749813157
2023-10-17,8366.012381841356
2023-10-18,8083.070543172014
2023-10-19,7894.2500689951585
2023-10-20,7850.5413717044685
2023-10-23,7825.904234615157
2023-10-24,7927.99334251392
2023-10-25,7678.0453078986975
2023-10-26,7583.474521112495
2023-10-27,7595.498639538136
2023-10-30,7706.623084061248
2023-10-31,7787.151244459996
2023-11-01,7874.569429757473
2023-11-02,8058.242576927284
2023-11-03,8306.622499076579
2023-11-06,8201.261512263136
2023-11-07,8304.275293965673
